ticker,timeframe,hv1y_date,hv1y_volume,days_since_hv1y,hv1y_occ_1y,total_hv1y_count,is_hv1y_also_hve,hv1y_to_hve_ratio,all_hv1y_details
AMPL,monthly,2026-05-31,45876000,0,3,3,False,0.7460203628628995,"[{'date': Timestamp('2026-05-31 00:00:00'), 'volume': np.int64(45876000)}, {'date': Timestamp('2025-08-31 00:00:00'), 'volume': np.int64(41176900)}, {'date': Timestamp('2025-06-30 00:00:00'), 'volume': np.int64(26944700)}]"
ETD,monthly,2026-05-31,8288163,0,7,7,False,0.8212525638866044,"[{'date': Timestamp('2026-05-31 00:00:00'), 'volume': np.int64(8288163)}, {'date': Timestamp('2026-03-31 00:00:00'), 'volume': np.int64(8222100)}, {'date': Timestamp('2026-01-31 00:00:00'), 'volume': np.int64(7906700)}, {'date': Timestamp('2025-11-30 00:00:00'), 'volume': np.int64(6560300)}, {'date': Timestamp('2025-08-31 00:00:00'), 'volume': np.int64(6394100)}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': np.int64(5117900)}, {'date': Timestamp('2025-06-30 00:00:00'), 'volume': np.int64(5000700)}]"
WEST,monthly,2026-05-31,18769785,0,4,4,True,1.0,"[{'date': Timestamp('2026-05-31 00:00:00'), 'volume': np.int64(18769785)}, {'date': Timestamp('2025-08-31 00:00:00'), 'volume': np.int64(13460300)}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': np.int64(6736700)}, {'date': Timestamp('2025-06-30 00:00:00'), 'volume': np.int64(5533400)}]"
TSCO,monthly,2026-05-31,205298234,0,5,5,False,0.8671757999691649,"[{'date': Timestamp('2026-05-31 00:00:00'), 'volume': np.int64(205298234)}, {'date': Timestamp('2026-04-30 00:00:00'), 'volume': np.int64(195851600)}, {'date': Timestamp('2026-01-31 00:00:00'), 'volume': np.int64(183714900)}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': np.int64(138034200)}, {'date': Timestamp('2025-06-30 00:00:00'), 'volume': np.int64(123421500)}]"
FMAO,monthly,2026-05-31,1753197,0,5,5,False,0.5530938860495931,"[{'date': Timestamp('2026-05-31 00:00:00'), 'volume': np.int64(1753197)}, {'date': Timestamp('2026-04-30 00:00:00'), 'volume': np.int64(1040400)}, {'date': Timestamp('2026-03-31 00:00:00'), 'volume': np.int64(1003200)}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': np.int64(578500)}, {'date': Timestamp('2025-06-30 00:00:00'), 'volume': np.int64(373700)}]"
CHMG,monthly,2026-05-31,643895,0,3,3,False,0.6229031633936345,"[{'date': Timestamp('2026-05-31 00:00:00'), 'volume': np.int64(643895)}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': np.int64(411400)}, {'date': Timestamp('2025-06-30 00:00:00'), 'volume': np.int64(281700)}]"
MBCN,monthly,2026-02-28,690700,0,5,5,False,0.4861687900330823,"[{'date': Timestamp('2026-02-28 00:00:00'), 'volume': np.int64(690700)}, {'date': Timestamp('2025-10-31 00:00:00'), 'volume': np.int64(482800)}, {'date': Timestamp('2025-06-30 00:00:00'), 'volume': np.int64(200500)}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': np.int64(184400)}, {'date': Timestamp('2025-03-31 00:00:00'), 'volume': np.int64(161300)}]"
ANET,monthly,2026-05-31,213420650,0,2,2,False,0.5164888977731656,"[{'date': Timestamp('2026-05-31 00:00:00'), 'volume': np.int64(213420650)}, {'date': Timestamp('2025-06-30 00:00:00'), 'volume': np.int64(207512500)}]"
FWRD,monthly,2026-05-31,36415362,0,4,4,False,0.964280074038179,"[{'date': Timestamp('2026-05-31 00:00:00'), 'volume': np.int64(36415362)}, {'date': Timestamp('2025-10-31 00:00:00'), 'volume': np.int64(22585600)}, {'date': Timestamp('2025-08-31 00:00:00'), 'volume': np.int64(13329600)}, {'date': Timestamp('2025-06-30 00:00:00'), 'volume': np.int64(12619500)}]"
IPGP,monthly,2026-05-31,11797463,0,8,8,False,0.6260560599869455,"[{'date': Timestamp('2026-05-31 00:00:00'), 'volume': np.int64(11797463)}, {'date': Timestamp('2026-03-31 00:00:00'), 'volume': np.int64(10381700)}, {'date': Timestamp('2026-01-31 00:00:00'), 'volume': np.int64(7571600)}, {'date': Timestamp('2025-12-31 00:00:00'), 'volume': np.int64(6132700)}, {'date': Timestamp('2025-11-30 00:00:00'), 'volume': np.int64(5346600)}, {'date': Timestamp('2025-09-30 00:00:00'), 'volume': np.int64(5220500)}, {'date': Timestamp('2025-08-31 00:00:00'), 'volume': np.int64(4976700)}, {'date': Timestamp('2025-06-30 00:00:00'), 'volume': np.int64(4790000)}]"
