ticker,timeframe,hve_date,hve_volume,days_since_hve,hve_occ_1y,total_hve_count,all_hve_details,latest_date,latest_volume,latest_close,volume_ratio,data_points
LION,daily,2026-05-22,11242700,0,4,11,"[{'date': Timestamp('2026-05-22 00:00:00'), 'volume': np.int64(11242700)}, {'date': Timestamp('2026-04-17 00:00:00'), 'volume': np.int64(9918100)}, {'date': Timestamp('2025-09-11 00:00:00'), 'volume': np.int64(9382900)}, {'date': Timestamp('2025-05-28 00:00:00'), 'volume': np.int64(6739100)}, {'date': Timestamp('2024-04-18 00:00:00'), 'volume': np.int64(6263600)}, {'date': Timestamp('2023-03-14 00:00:00'), 'volume': np.int64(5502600)}, {'date': Timestamp('2022-11-10 00:00:00'), 'volume': np.int64(3288200)}, {'date': Timestamp('2022-07-07 00:00:00'), 'volume': np.int64(2334100)}, {'date': Timestamp('2022-06-27 00:00:00'), 'volume': np.int64(1973000)}, {'date': Timestamp('2022-03-02 00:00:00'), 'volume': np.int64(1094000)}, {'date': Timestamp('2022-03-01 00:00:00'), 'volume': np.int64(2100)}]",2026-05-22,11242700,14.949999809265137,1.0,1062
FUTU,daily,2026-05-22,61222200,0,1,20,"[{'date': Timestamp('2026-05-22 00:00:00'), 'volume': np.int64(61222200)}, {'date': Timestamp('2021-10-28 00:00:00'), 'volume': np.int64(31946600)}, {'date': Timestamp('2021-10-15 00:00:00'), 'volume': np.int64(26796600)}, {'date': Timestamp('2021-02-10 00:00:00'), 'volume': np.int64(26579500)}, {'date': Timestamp('2021-02-09 00:00:00'), 'volume': np.int64(18154700)}, {'date': Timestamp('2021-01-25 00:00:00'), 'volume': np.int64(15518200)}, {'date': Timestamp('2021-01-21 00:00:00'), 'volume': np.int64(10728800)}, {'date': Timestamp('2021-01-20 00:00:00'), 'volume': np.int64(10592700)}, {'date': Timestamp('2021-01-19 00:00:00'), 'volume': np.int64(9354300)}, {'date': Timestamp('2021-01-05 00:00:00'), 'volume': np.int64(8796000)}, {'date': Timestamp('2020-11-19 00:00:00'), 'volume': np.int64(7275300)}, {'date': Timestamp('2020-08-19 00:00:00'), 'volume': np.int64(7229300)}, {'date': Timestamp('2020-07-06 00:00:00'), 'volume': np.int64(4171500)}, {'date': Timestamp('2020-05-20 00:00:00'), 'volume': np.int64(2052800)}, {'date': Timestamp('2020-05-14 00:00:00'), 'volume': np.int64(1493700)}, {'date': Timestamp('2020-02-11 00:00:00'), 'volume': np.int64(1160900)}, {'date': Timestamp('2020-01-30 00:00:00'), 'volume': np.int64(646900)}, {'date': Timestamp('2020-01-16 00:00:00'), 'volume': np.int64(646000)}, {'date': Timestamp('2020-01-15 00:00:00'), 'volume': np.int64(253800)}, {'date': Timestamp('2020-01-02 00:00:00'), 'volume': np.int64(242700)}]",2026-05-22,61222200,89.76000213623047,1.0,1606
HLIT,daily,2026-05-22,12679000,0,1,13,"[{'date': Timestamp('2026-05-22 00:00:00'), 'volume': np.int64(12679000)}, {'date': Timestamp('2023-08-01 00:00:00'), 'volume': np.int64(11120400)}, {'date': Timestamp('2023-01-31 00:00:00'), 'volume': np.int64(8471900)}, {'date': Timestamp('2022-02-01 00:00:00'), 'volume': np.int64(6572700)}, {'date': Timestamp('2021-08-03 00:00:00'), 'volume': np.int64(5953200)}, {'date': Timestamp('2020-08-04 00:00:00'), 'volume': np.int64(5702600)}, {'date': Timestamp('2020-04-28 00:00:00'), 'volume': np.int64(4175300)}, {'date': Timestamp('2020-02-04 00:00:00'), 'volume': np.int64(3374800)}, {'date': Timestamp('2020-02-03 00:00:00'), 'volume': np.int64(1479400)}, {'date': Timestamp('2020-01-22 00:00:00'), 'volume': np.int64(958000)}, {'date': Timestamp('2020-01-13 00:00:00'), 'volume': np.int64(680200)}, {'date': Timestamp('2020-01-03 00:00:00'), 'volume': np.int64(620400)}, {'date': Timestamp('2020-01-02 00:00:00'), 'volume': np.int64(317500)}]",2026-05-22,12679000,15.199999809265137,1.0,1606
AKTX,daily,2026-05-22,33808000,0,5,10,"[{'date': Timestamp('2026-05-22 00:00:00'), 'volume': np.int64(33808000)}, {'date': Timestamp('2025-12-02 00:00:00'), 'volume': np.int64(16389100)}, {'date': Timestamp('2025-11-04 00:00:00'), 'volume': np.int64(5560300)}, {'date': Timestamp('2025-09-24 00:00:00'), 'volume': np.int64(3676900)}, {'date': Timestamp('2025-09-17 00:00:00'), 'volume': np.int64(3429800)}, {'date': Timestamp('2021-04-28 00:00:00'), 'volume': np.int64(655070)}, {'date': Timestamp('2021-04-12 00:00:00'), 'volume': np.int64(205415)}, {'date': Timestamp('2020-01-10 00:00:00'), 'volume': np.int64(194095)}, {'date': Timestamp('2020-01-07 00:00:00'), 'volume': np.int64(35150)}, {'date': Timestamp('2020-01-02 00:00:00'), 'volume': np.int64(10690)}]",2026-05-22,33808000,18.270000457763672,1.0,1606
CAE,daily,2026-05-22,4668800,0,1,12,"[{'date': Timestamp('2026-05-22 00:00:00'), 'volume': np.int64(4668800)}, {'date': Timestamp('2021-03-10 00:00:00'), 'volume': np.int64(4414800)}, {'date': Timestamp('2020-04-17 00:00:00'), 'volume': np.int64(1763700)}, {'date': Timestamp('2020-03-27 00:00:00'), 'volume': np.int64(1552500)}, {'date': Timestamp('2020-03-19 00:00:00'), 'volume': np.int64(1406500)}, {'date': Timestamp('2020-03-17 00:00:00'), 'volume': np.int64(1105100)}, {'date': Timestamp('2020-03-05 00:00:00'), 'volume': np.int64(1055700)}, {'date': Timestamp('2020-03-02 00:00:00'), 'volume': np.int64(1022300)}, {'date': Timestamp('2020-01-15 00:00:00'), 'volume': np.int64(922000)}, {'date': Timestamp('2020-01-06 00:00:00'), 'volume': np.int64(802900)}, {'date': Timestamp('2020-01-03 00:00:00'), 'volume': np.int64(431600)}, {'date': Timestamp('2020-01-02 00:00:00'), 'volume': np.int64(186100)}]",2026-05-22,4668800,23.15999984741211,1.0,1606
INTU,daily,2026-05-21,22353500,1,3,14,"[{'date': Timestamp('2026-05-21 00:00:00'), 'volume': np.int64(22353500)}, {'date': Timestamp('2026-02-26 00:00:00'), 'volume': np.int64(9787200)}, {'date': Timestamp('2026-02-03 00:00:00'), 'volume': np.int64(7569100)}, {'date': Timestamp('2023-05-24 00:00:00'), 'volume': np.int64(6664400)}, {'date': Timestamp('2022-05-25 00:00:00'), 'volume': np.int64(5277100)}, {'date': Timestamp('2021-12-01 00:00:00'), 'volume': np.int64(5184800)}, {'date': Timestamp('2021-03-19 00:00:00'), 'volume': np.int64(4423200)}, {'date': Timestamp('2020-03-20 00:00:00'), 'volume': np.int64(3858400)}, {'date': Timestamp('2020-02-25 00:00:00'), 'volume': np.int64(3430400)}, {'date': Timestamp('2020-01-22 00:00:00'), 'volume': np.int64(2611200)}, {'date': Timestamp('2020-01-17 00:00:00'), 'volume': np.int64(2172700)}, {'date': Timestamp('2020-01-13 00:00:00'), 'volume': np.int64(1697600)}, {'date': Timestamp('2020-01-08 00:00:00'), 'volume': np.int64(1373900)}, {'date': Timestamp('2020-01-02 00:00:00'), 'volume': np.int64(1124500)}]",2026-05-22,12469600,319.94000244140625,0.5578365804012795,1606
ODV,daily,2026-05-21,64460800,1,4,17,"[{'date': Timestamp('2026-05-21 00:00:00'), 'volume': np.int64(64460800)}, {'date': Timestamp('2026-03-20 00:00:00'), 'volume': np.int64(9439800)}, {'date': Timestamp('2026-01-27 00:00:00'), 'volume': np.int64(9281400)}, {'date': Timestamp('2025-10-09 00:00:00'), 'volume': np.int64(4327200)}, {'date': Timestamp('2025-03-19 00:00:00'), 'volume': np.int64(4300400)}, {'date': Timestamp('2024-11-21 00:00:00'), 'volume': np.int64(2257100)}, {'date': Timestamp('2024-10-24 00:00:00'), 'volume': np.int64(2087900)}, {'date': Timestamp('2024-10-21 00:00:00'), 'volume': np.int64(751300)}, {'date': Timestamp('2024-09-05 00:00:00'), 'volume': np.int64(584200)}, {'date': Timestamp('2023-02-10 00:00:00'), 'volume': np.int64(387900)}, {'date': Timestamp('2022-08-04 00:00:00'), 'volume': np.int64(371100)}, {'date': Timestamp('2022-02-03 00:00:00'), 'volume': np.int64(127667)}, {'date': Timestamp('2020-12-30 00:00:00'), 'volume': np.int64(19633)}, {'date': Timestamp('2020-12-04 00:00:00'), 'volume': np.int64(8200)}, {'date': Timestamp('2020-12-03 00:00:00'), 'volume': np.int64(3467)}, {'date': Timestamp('2020-07-14 00:00:00'), 'volume': np.int64(25)}, {'date': Timestamp('2020-02-04 00:00:00'), 'volume': np.int64(2)}]",2026-05-22,4686800,2.690000057220459,0.07270775416997617,1606
BORR,daily,2026-05-21,30661300,1,1,19,"[{'date': Timestamp('2026-05-21 00:00:00'), 'volume': np.int64(30661300)}, {'date': Timestamp('2020-06-08 00:00:00'), 'volume': np.int64(28826550)}, {'date': Timestamp('2020-06-05 00:00:00'), 'volume': np.int64(12155200)}, {'date': Timestamp('2020-04-07 00:00:00'), 'volume': np.int64(7277150)}, {'date': Timestamp('2020-04-06 00:00:00'), 'volume': np.int64(2137900)}, {'date': Timestamp('2020-03-27 00:00:00'), 'volume': np.int64(1070400)}, {'date': Timestamp('2020-03-26 00:00:00'), 'volume': np.int64(943300)}, {'date': Timestamp('2020-03-24 00:00:00'), 'volume': np.int64(379900)}, {'date': Timestamp('2020-03-17 00:00:00'), 'volume': np.int64(313000)}, {'date': Timestamp('2020-03-16 00:00:00'), 'volume': np.int64(244950)}, {'date': Timestamp('2020-03-02 00:00:00'), 'volume': np.int64(191450)}, {'date': Timestamp('2020-02-28 00:00:00'), 'volume': np.int64(148450)}, {'date': Timestamp('2020-02-25 00:00:00'), 'volume': np.int64(90150)}, {'date': Timestamp('2020-02-24 00:00:00'), 'volume': np.int64(83700)}, {'date': Timestamp('2020-02-18 00:00:00'), 'volume': np.int64(53200)}, {'date': Timestamp('2020-01-30 00:00:00'), 'volume': np.int64(40100)}, {'date': Timestamp('2020-01-10 00:00:00'), 'volume': np.int64(24900)}, {'date': Timestamp('2020-01-03 00:00:00'), 'volume': np.int64(21750)}, {'date': Timestamp('2020-01-02 00:00:00'), 'volume': np.int64(10400)}]",2026-05-22,11536800,5.519999980926514,0.37626584652314154,1606
TECTP,daily,2026-02-10,127100,1,2,5,"[{'date': Timestamp('2026-02-10 00:00:00'), 'volume': np.int64(127100)}, {'date': Timestamp('2026-01-06 00:00:00'), 'volume': np.int64(99900)}, {'date': Timestamp('2020-06-24 00:00:00'), 'volume': np.int64(74900)}, {'date': Timestamp('2020-01-29 00:00:00'), 'volume': np.int64(19900)}, {'date': Timestamp('2020-01-07 00:00:00'), 'volume': np.int64(6500)}]",2026-02-11,24000,9.989999771118164,0.1888276947285602,1536
FCEL,daily,2026-05-21,22359700,1,3,8,"[{'date': Timestamp('2026-05-21 00:00:00'), 'volume': np.int64(22359700)}, {'date': Timestamp('2026-04-21 00:00:00'), 'volume': np.int64(18824000)}, {'date': Timestamp('2025-10-31 00:00:00'), 'volume': np.int64(15883500)}, {'date': Timestamp('2024-11-15 00:00:00'), 'volume': np.int64(13371600)}, {'date': Timestamp('2020-11-23 00:00:00'), 'volume': np.int64(7968807)}, {'date': Timestamp('2020-11-18 00:00:00'), 'volume': np.int64(7711123)}, {'date': Timestamp('2020-11-17 00:00:00'), 'volume': np.int64(5014653)}, {'date': Timestamp('2020-01-02 00:00:00'), 'volume': np.int64(4657913)}]",2026-05-22,12014400,25.01000022888184,0.5373238460265567,1606
