Symbol,market_cap,timeframe,HVE_date_1,HVE_vol_1,HVE_date_2,HVE_vol_2,HVE_date_3,HVE_vol_3,HVE_date_4,HVE_vol_4,HVE_date_5,HVE_vol_5,HVE_date_6,HVE_vol_6,HVE_date_7,HVE_vol_7,HVE_date_8,HVE_vol_8,HVE_date_9,HVE_vol_9,HVE_date_10,HVE_vol_10
NSA,6108956184.302629,daily,2026-07-21,25654100,2026-03-16,18846900.0,2021-05-13,14069500.0,2020-09-23,3745400.0,2020-06-19,2698400.0,2020-03-17,1026200.0,2020-03-12,979300.0,2020-02-25,697700.0,2020-02-19,674700.0,2020-01-10,462800.0
BRUN,2102703549.972408,daily,2026-08-14,6364300,2025-09-16,5067100.0,2025-06-30,521700.0,2025-06-23,509800.0,2025-01-15,389900.0,2025-01-10,297700.0,2024-12-30,157500.0,,,,,,
ARX,2998086460.032184,daily,2026-08-13,70095100,2025-07-24,22487700.0,,,,,,,,,,,,,,,,
CLBT,3432291945.425178,daily,2026-08-13,36750400,2025-08-14,10675300.0,2024-08-15,6443900.0,2021-04-08,5853800.0,2021-03-04,2414600.0,2020-12-04,1133600.0,2020-11-20,368200.0,2020-11-12,104900.0,2020-11-10,18700.0,2020-11-09,12500.0
RNW,2254383196.4740973,daily,2026-08-11,23649800,2024-05-14,20693200.0,2021-02-24,16958300.0,2021-02-23,3137900.0,2021-02-16,1668800.0,2021-02-05,359900.0,2021-02-02,197700.0,2021-02-01,130200.0,,,,
ABCL,2253670376.6486487,daily,2026-08-10,46039100,2023-06-23,29467000.0,2022-06-24,25520200.0,2021-09-17,14682900.0,2021-08-13,9978200.0,2020-12-11,9249200.0,,,,,,,,
PLBL,2868813795.871324,daily,2026-08-10,1691800,2026-07-10,1495900.0,2026-07-07,1053500.0,2026-07-02,848200.0,2026-06-30,411900.0,2026-06-15,359700.0,2026-06-12,243000.0,2025-08-08,220100.0,,,,
DOCS,3818368359.29471,daily,2026-08-07,65315800,2026-05-14,25491400.0,2026-02-06,23126300.0,2023-06-16,21385600.0,2021-11-12,19513900.0,2021-06-24,17305900.0,,,,,,,,
TTD,8635897246.184652,daily,2026-08-07,133339600,2025-07-17,111506800.0,2021-05-10,87309000.0,2020-05-08,52253000.0,2020-02-28,52216000.0,2020-02-27,33457000.0,2020-02-05,28377000.0,2020-02-04,25938000.0,2020-01-27,23745000.0,2020-01-13,23046000.0
POST,4052292516.070804,daily,2026-08-07,3898100,2022-08-10,3582600.0,2020-03-19,2788142.0,2020-02-28,2460080.0,2020-02-07,2177706.0,2020-01-03,1073420.0,2020-01-02,696157.0,,,,,,
HUBS,9499354003.402864,daily,2026-08-06,8617000,2026-02-12,7128400.0,2024-07-10,4725900.0,2024-04-04,3057700.0,2020-11-30,2793000.0,2020-03-20,2002400.0,2020-03-09,1958600.0,2020-02-13,1818900.0,2020-01-09,874900.0,2020-01-08,849100.0
LMAT,2185901654.7835617,daily,2026-08-05,2185200,2026-02-26,1266600.0,2025-03-21,1117100.0,2020-02-07,957400.0,2020-01-16,164900.0,2020-01-09,143600.0,2020-01-07,141800.0,2020-01-03,97700.0,2020-01-02,81200.0,,
DORM,4024912786.327751,daily,2026-08-04,1806100,2026-06-26,1071000.0,2020-12-18,851200.0,2020-02-24,699400.0,2020-01-07,310500.0,2020-01-06,215000.0,2020-01-03,162400.0,2020-01-02,155000.0,,,,
ATKR,2628106229.6938467,daily,2026-08-03,8858500,2024-08-06,5908100.0,2024-05-07,2339500.0,2021-02-16,2022500.0,2021-02-02,1265600.0,2020-03-19,1224700.0,2020-03-18,780300.0,2020-03-09,729000.0,2020-02-28,608800.0,2020-02-27,572000.0
IHS,2764694691.0,daily,2026-07-31,14277300,2021-10-14,10702000.0,,,,,,,,,,,,,,,,
OLN,2476747768.1912107,daily,2026-07-31,10113300,2020-06-19,9800100.0,2020-02-05,8336600.0,2020-01-31,6042100.0,2020-01-22,4300600.0,2020-01-17,3949700.0,2020-01-08,2706200.0,2020-01-06,2301500.0,2020-01-03,1979400.0,2020-01-02,1495200.0
AMBA,2725530244.552176,daily,2026-07-31,9177800,2023-08-30,8068000.0,2022-03-01,7434600.0,2021-09-01,5203800.0,2020-11-24,4433000.0,2020-06-03,2615600.0,2020-03-04,2518400.0,2020-02-12,1532300.0,2020-01-15,1259100.0,2020-01-09,915500.0
TFSL,4904758532.737862,daily,2026-07-31,2241700,2026-05-12,2002100.0,2026-01-30,1915500.0,2025-12-19,1621400.0,2023-12-13,1518900.0,2021-02-25,1318100.0,2020-12-18,1134500.0,2020-06-24,971200.0,2020-03-23,875300.0,2020-03-20,846300.0
PSN,5449485886.752816,daily,2026-07-29,12088500,2025-12-05,11658900.0,2024-09-20,7399600.0,2024-06-28,6002700.0,2024-02-22,4736900.0,2020-08-18,3480800.0,2020-08-17,1892500.0,2020-06-19,764400.0,2020-03-12,620200.0,2020-03-10,580900.0
ITRI,3718740966.511875,daily,2026-07-28,6630900,2025-10-30,6207900.0,2021-03-10,4200400.0,2021-03-09,2300600.0,2020-05-05,2116700.0,2020-02-28,811400.0,2020-02-25,694500.0,2020-02-05,547300.0,2020-01-17,332700.0,2020-01-14,261400.0
