Symbol,market_cap,timeframe,HVE_date_1,HVE_vol_1,HVE_date_2,HVE_vol_2,HVE_date_3,HVE_vol_3,HVE_date_4,HVE_vol_4,HVE_date_5,HVE_vol_5,HVE_date_6,HVE_vol_6,HVE_date_7,HVE_vol_7,HVE_date_8,HVE_vol_8,HVE_date_9,HVE_vol_9,HVE_date_10,HVE_vol_10
AMSF,631252289.3496703,daily,2026-08-13,1790900,2026-06-26,1162500.0,2024-03-15,1017600.0,2023-06-23,677900.0,2022-12-16,673100.0,2021-12-17,521300.0,2020-09-18,347900.0,2020-03-20,246800.0,2020-02-20,226900.0,2020-01-08,135200.0
LINC,1582547170.1053274,daily,2026-08-10,4502000,2023-06-23,2788400.0,2020-08-25,1495300.0,2020-07-22,922200.0,2020-07-13,319600.0,2020-06-02,210500.0,2020-06-01,183600.0,2020-05-26,181300.0,2020-05-21,180400.0,2020-02-19,105700.0
SION,1904440922.259995,daily,2026-08-10,38644400,2025-06-27,2248200.0,2025-02-07,1890300.0,,,,,,,,,,,,,,
BWMN,523831406.2325582,daily,2026-08-10,3061000,2021-05-07,2471400.0,,,,,,,,,,,,,,,,
VREX,433208983.0,daily,2026-08-10,13230700,2024-09-20,8753500.0,2020-06-04,4979900.0,2020-05-13,2321100.0,2020-02-12,631700.0,2020-02-11,315000.0,2020-02-03,270100.0,2020-01-29,260100.0,2020-01-23,256600.0,2020-01-07,217800.0
SLN,472346115.0,daily,2026-08-10,16208700,2024-11-19,4528100.0,2023-08-31,1973400.0,2021-11-30,1038200.0,2021-11-19,79200.0,2020-09-16,18200.0,2020-09-08,6500.0,,,,,,
HZO,831342546.24,daily,2026-08-10,7672600,2024-06-03,2230600.0,2024-01-25,1839400.0,2020-01-23,1707200.0,2020-01-22,237000.0,2020-01-14,217400.0,2020-01-13,198500.0,2020-01-08,188200.0,2020-01-03,169000.0,2020-01-02,130200.0
BZH,798147672.2210106,daily,2026-08-07,6487800,2026-05-11,5546500.0,2020-01-31,2681400.0,2020-01-30,675600.0,2020-01-24,528400.0,2020-01-23,522000.0,2020-01-15,304500.0,2020-01-03,280000.0,2020-01-02,243400.0,,
IIIV,594661903.1119959,daily,2026-08-07,1756000,2026-02-06,1729800.0,2024-02-29,1555700.0,2020-09-11,1510700.0,2020-02-12,1247400.0,2020-02-11,344500.0,2020-01-09,209500.0,2020-01-08,123800.0,2020-01-03,115500.0,2020-01-02,110100.0
MATW,850266450.066439,daily,2026-08-07,2208100,2026-06-26,1154400.0,2025-02-05,1038200.0,2024-12-20,950700.0,2020-07-02,850400.0,2020-06-08,601400.0,2020-01-31,562200.0,2020-01-23,217500.0,2020-01-21,141500.0,2020-01-03,140800.0
DV,1660482478.7095478,daily,2026-08-07,38403500,2026-06-26,21934000.0,2024-05-08,20293200.0,2023-01-30,17707100.0,2021-04-21,10062400.0,,,,,,,,,,
NATR,369633995.9758103,daily,2026-08-07,767900,2025-11-10,709200.0,2020-06-04,538600.0,2020-03-19,94600.0,2020-03-17,86800.0,2020-03-12,36400.0,2020-03-03,31900.0,2020-03-02,25600.0,2020-01-23,24300.0,2020-01-09,20100.0
QNST,812277509.0825827,daily,2026-08-07,4903700,2023-05-04,3367300.0,2022-02-09,3192100.0,2021-12-17,2559500.0,2020-02-06,2040600.0,2020-02-05,894600.0,2020-01-30,798000.0,2020-01-29,668000.0,2020-01-17,593500.0,2020-01-14,505600.0
WD,1878605540.5584905,daily,2026-08-06,1606800,2022-12-16,1528900.0,2020-04-07,1234900.0,2020-04-06,1051800.0,2020-04-03,971500.0,2020-04-02,519000.0,2020-04-01,480100.0,2020-02-28,478100.0,2020-02-05,460100.0,2020-02-03,369700.0
XOMA,745158965.9111373,daily,2026-07-13,6324600,2026-04-27,3180400.0,2026-01-27,1430400.0,2026-01-14,1298500.0,2026-01-05,1236000.0,2023-06-23,937800.0,2021-03-31,809900.0,2020-06-26,758400.0,2020-03-13,199000.0,2020-03-11,148700.0
KRO,751296859.2202111,daily,2026-08-06,2196200,2020-03-25,1401100.0,2020-03-12,1225800.0,2020-01-13,613000.0,2020-01-02,411600.0,,,,,,,,,,
